'T_{chw;in} [C]','T_{cw;in} [C]','T_{hw;in} [C]','Vdot_{chw} [m³/h]','Vdot_{cw} [m³/h]','Vdot_{hw} [m³/h]','Qdot_{eva} [kW]','Qdot_{ac} [kW]','Qdot_{gen} [kW]','COP_{th}','Wdot [kW]','COP_{overall}',EER
16.67,29.93,100.11,1.72,4.76,2.24,13.67,36.58,20.48,0.67,0.64,0.64,7.05
8.71,32.99,100.03,1.72,4.76,2.24,7.42,24.23,15.65,0.47,0.64,0.65,3.83
10.11,33,100.05,1.72,4.76,2.24,8.23,26.08,16.63,0.49,0.64,0.65,4.24
11.64,33,100.06,1.72,4.77,2.24,9.23,27.49,17.09,0.54,0.65,0.65,4.69
12.94,33,100.04,1.72,4.76,2.24,9.87,28.39,17.36,0.57,0.64,0.65,5.09
14.23,33,100.09,1.72,4.76,2.24,10.46,29.73,18.12,0.58,0.65,0.65,5.31
15.63,33,100.01,1.72,4.77,2.24,11.26,30.53,18.04,0.62,0.65,0.65,5.72
8.1,35,100.01,1.72,4.77,2.24,6.2,20.73,13.63,0.46,0.63,0.65,3.25
9.62,35,100.01,1.72,4.77,2.24,7.18,22.29,14.05,0.51,0.62,0.65,3.82
10.96,35,100,1.72,4.76,2.24,7.84,23.5,14.62,0.54,0.65,0.65,3.98
12.18,35,100.02,1.72,4.76,2.24,8.37,24.55,15.23,0.55,0.66,0.65,4.19
