P_{w;su;exp},T_{w;su;exp},P_{w;ex;exp},T_{w;ex;exp},N_{rot},R_{elec},T_{amb},M_{dot;w},W_{dot;el;exp},T_{exp;sideVolute},T_{exp;backVolute},T_{exp;shaft},T_{exp;exShaftUp},T_{exp;exShaftLeft},epsilon_s
7.25606359,214.8345355,1.129229062,103.5169724,8286.761035,1.6,39.48048202,8.003488243,733.1067412,131.9783483,140.6664562,165.4740723,151.0656506,143.7958815,26.98428252
7.533113227,215.1080879,1.129815788,104.7465814,5853.916698,0.8,39.89236365,8.133785938,718.6578639,138.549881,138.7649856,158.0788995,145.6139984,141.8637459,25.57441935
7.601432605,216.2844919,1.129896691,106.1180975,4986.170222,0.6,40.52138123,8.08398148,643.5936101,142.0789426,138.9952887,156.6076959,144.7885938,141.2001688,22.90991337
8.4658872,212.5196838,1.130730334,107.571028,3253.211023,0.2,40.98702856,8.209794015,515.2091957,146.274161,139.625458,150.3247347,143.8557368,141.7225411,17.31268812
8.617489484,197.5324463,1.144403439,100.0228179,2596.868888,0.2,38.60499366,8.921669992,403.7085962,130.1376831,116.0781296,111.0799794,113.7954545,111.802415,12.71014023
9.793382096,201.9495275,1.144522327,100.7295185,1337.730599,0.1,39.4628055,8.859467807,226.5156129,143.7218044,128.497475,127.9568547,131.1090357,129.8494331,6.766868524
8.135289392,199.1149174,1.146336786,103.7812563,3903.372067,0.4,40.30353563,8.858333132,576.1681746,133.5006017,127.112625,136.0924797,131.8808605,130.3543243,18.71619268
7.833835629,202.442543,1.144272101,105.0987179,4850.521235,0.6,40.84997098,8.87965135,661.0162662,131.7738607,127.1302697,139.1940613,132.6142419,130.5464324,21.67534676
7.649809362,201.8512512,1.145437081,104.9480617,5504.686001,0.8,41.38497749,8.949274813,682.325625,131.7316781,128.4629471,143.0943566,134.3185325,132.0117745,22.47430669
7.420772237,200.3025852,1.146167,104.1653251,6523.458525,1,41.91889037,8.971306807,749.229461,128.3143256,128.2324895,146.5770335,134.5369416,132.4320916,25.0330695
7.259714053,201.2980175,1.145225964,103.5266947,7299.32313,1.2,42.34154351,8.914246465,769.64756,126.7553496,128.6278829,149.1736038,135.7337774,132.9547683,26.10598588
7.236153712,199.5765623,1.145275341,102.9573886,7895.705839,1.4,42.83121971,8.982527397,764.3009508,125.4988999,130.6649378,152.7363007,139.3993697,134.5940067,25.83055631
7.248113261,198.1527105,1.146323768,102.3901817,8260.401644,1.6,43.35443804,8.93844161,727.1919343,123.9853214,133.5397065,157.7169502,144.0847024,137.1474645,24.73770594
7.241385826,199.0185628,1.146550591,101.8226376,8557.110001,1.8,43.66385374,8.959875017,687.8114,124.0072668,137.6889167,164.5942517,150.3792472,140.9598919,23.32671704
8.170145638,200.8197788,1.16633392,101.9008606,5469.045701,0.6,44.70433119,9.805524962,747.4181832,129.0796439,130.4330327,149.5555438,137.5462732,134.122299,22.01207273
8.070134119,203.0490817,1.167689835,101.1406855,6304.342073,0.8,45.1139887,9.719946313,791.3095202,129.4954936,133.5737143,159.0553881,140.1193198,136.4947877,23.58222981
7.761058935,202.004006,1.16856209,100.9915854,7271.359794,1,45.47514215,9.676092321,846.962045,129.2520184,135.9235387,164.1074171,142.9095797,139.0538381,25.86249443
8.448535699,202.9709889,1.165467803,101.2347727,4861.161334,0.4,45.82244795,9.631371097,742.6622288,133.6491821,133.7121405,151.369999,139.2232035,136.4654183,21.86394923
8.978993462,204.8049895,1.166172505,102.4018048,3784.020148,0.2,46.19059639,9.578097809,639.8822838,137.4963807,133.4489003,145.743639,138.024946,135.9989721,18.40569327
7.918680972,205.3241294,1.166499461,102.3581825,8263.683268,1.2,46.49906624,9.707430677,898.2003592,127.0309254,136.0020127,161.9207822,145.9123952,140.11166,26.93784488
8.324298238,200.2426327,1.101162428,97.35794047,3484.251682,0.4,31.20477913,8.930159767,537.2350725,126.9450805,113.066237,104.6118499,108.0627018,107.1108556,16.80872278
8.658084508,205.7600896,1.147391773,100.7347721,4023.140628,0.4,34.19057823,9.41742056,659.4797658,132.0638457,121.6560612,129.8391702,125.6341116,124.1514815,19.43556994
9.20008895,206.1637649,1.169918326,103.217335,4430.602077,0.4,35.80738566,10.30686046,759.2415887,132.2701438,124.2117192,133.6717187,128.663615,126.8634266,20.07641152
9.224928542,212.4901708,1.187807068,103.9891749,4666.440877,0.4,38.35638958,10.34950835,791.099531,135.505362,127.9668604,138.3544971,132.7315016,130.3471637,20.76226058
8.070091386,197.4708705,1.150563944,101.3444526,3584.062062,0.4,36.12706031,8.87728337,533.6343963,131.2148831,121.2203039,127.5779235,125.0744422,123.5325325,17.42797102
8.686601416,201.8519403,1.17531951,103.0805372,4131.400467,0.4,38.19581401,9.866276047,658.8872982,132.5436557,124.007449,131.1815573,128.2306458,126.3547247,18.80318943
9.218984875,205.4698965,1.175928535,108.1504971,3165.075228,0.2,39.93874799,9.777571776,556.558375,138.3298085,128.3075756,133.3338885,132.2564743,130.5011264,15.54853454
8.373415185,207.0679581,1.174846034,107.8583387,5308.510503,0.6,40.80814429,9.645025131,780.5436765,134.0910519,129.2804674,139.7875042,135.0434929,132.5920636,22.99034392
8.1383753,206.386852,1.173818092,107.2651738,6184.361555,0.8,41.10148064,9.738944979,847.1312441,131.8571032,129.0714786,142.7586295,135.4652824,132.8868815,25.04368359
7.781595096,205.5909516,1.17159243,105.8034661,7114.285907,1,42.18831142,9.66252697,873.2050173,128.7684059,128.6477824,146.2106528,135.7886694,133.0015407,26.56691615
8.368685894,206.4534046,1.178619615,106.881688,5575.420406,0.6,43.79705265,10.09780306,801.592155,134.3476955,132.0674456,145.3909295,138.1631208,135.6064584,22.60907611
8.188714103,209.7966264,1.17421519,105.6263094,6771.391458,0.8,44.81041424,9.970368154,930.3743277,132.7155004,132.7878103,150.6468386,139.6143509,136.1808621,26.66713673
8.361218438,228.5926548,1.094306127,111.5182514,5844.92418,0.6,45.33041655,9.598722273,882.4074286,144.3239279,137.1422964,149.0515566,139.8360648,139.3687003,24.56111286
8.19869017,228.3138502,1.126098869,113.6869773,6763.180588,0.8,45.85797407,9.659606858,949.7157594,146.9912963,142.3594118,156.480597,147.6867811,145.9975591,26.82896629
8.042568727,230.5238091,1.140906489,113.5923977,7675.111865,1,46.18165569,9.430069655,969.5006966,144.334911,144.5298993,162.9240419,152.1062751,148.8908463,28.35851872
8.159044504,239.5883796,1.147957358,114.898359,7812.633456,1,46.47521725,9.42468206,987.8988156,148.7573452,148.1685627,166.9429345,156.2501114,152.0798458,28.4090036
8.205989149,241.3454748,1.154828808,117.2169802,7885.539898,1,46.7807419,9.430113315,995.0212571,152.3356163,152.8871852,172.2518387,161.9138384,156.890772,28.52222607
8.496088476,219.1555665,1.174280384,123.36508,4954.770646,0.4,47.51340243,9.740917016,759.7928139,153.1311443,151.7518396,165.3556914,158.3937058,155.4420659,21.63634541
8.697041073,216.5704861,1.177083789,121.4060003,3705.478066,0.2,47.97558449,9.644950918,612.2022222,152.5333615,146.576264,157.3638114,150.6836621,149.4308719,17.51177316
